frame_number,timestamp_seconds,objects_detected,active_tracks,processing_time_ms,fps,contour_count_raw,contour_count_filtered,inference_time_ms,class_counts,roi_objects,roi_class_counts,entered,exited,circle_count,rectangle_count,triangle_count,other_count,active_vehicles,vehicle_class_counts,direction_a,direction_b,total_crossings,line_orientation
12,0.44,21,21,36.128000007010996,27.679362262121902,,,32.89150004275143,"{""car"": 18, ""bus"": 2, ""truck"": 1}",21,"{""car"": 18, ""bus"": 2, ""truck"": 1}",0,0,0,0,0,0,21,"{""car"": 18, ""truck"": 1, ""bus"": 2, ""motorcycle"": 0, ""bicycle"": 0}",0,0,0,horizontal
13,0.48,20,20,37.87000000011176,26.40612622120541,,,33.84419996291399,"{""car"": 17, ""bus"": 2, ""truck"": 1}",20,"{""car"": 17, ""bus"": 2, ""truck"": 1}",0,0,0,0,0,0,20,"{""car"": 17, ""truck"": 1, ""bus"": 2, ""motorcycle"": 0, ""bicycle"": 0}",0,0,0,horizontal
14,0.52,21,21,37.584599980618805,26.60664209584959,,,33.46850001253188,"{""car"": 18, ""bus"": 2, ""truck"": 1}",21,"{""car"": 18, ""bus"": 2, ""truck"": 1}",0,0,0,0,0,0,21,"{""car"": 18, ""truck"": 1, ""bus"": 2, ""motorcycle"": 0, ""bicycle"": 0}",0,0,0,horizontal
15,0.56,23,23,36.65020002517849,27.284980690774002,,,32.422900025267154,"{""car"": 21, ""bus"": 1, ""truck"": 1}",23,"{""car"": 21, ""bus"": 1, ""truck"": 1}",0,0,0,0,0,0,23,"{""car"": 21, ""truck"": 1, ""bus"": 1, ""motorcycle"": 0, ""bicycle"": 0}",0,0,0,horizontal
16,0.6,22,22,37.67239995067939,26.544632179239905,,,33.376799954567105,"{""car"": 19, ""bus"": 1, ""truck"": 2}",22,"{""car"": 19, ""bus"": 1, ""truck"": 2}",0,0,0,0,0,0,22,"{""car"": 19, ""truck"": 2, ""bus"": 1, ""motorcycle"": 0, ""bicycle"": 0}",0,0,0,horizontal
17,0.64,22,22,37.25230001145974,26.84398009498407,,,33.08990004006773,"{""car"": 20, ""truck"": 2}",22,"{""car"": 20, ""truck"": 2}",0,0,0,0,0,0,22,"{""car"": 20, ""truck"": 2, ""bus"": 0, ""motorcycle"": 0, ""bicycle"": 0}",0,0,0,horizontal
18,0.68,20,20,36.86130000278354,27.128723076084842,,,32.96440001577139,"{""car"": 18, ""truck"": 2}",20,"{""car"": 18, ""truck"": 2}",0,0,0,0,0,0,20,"{""car"": 18, ""truck"": 2, ""bus"": 0, ""motorcycle"": 0, ""bicycle"": 0}",0,0,0,horizontal
19,0.72,20,20,36.94040002301335,27.070632677962717,,,32.98180003184825,"{""car"": 18, ""truck"": 2}",20,"{""car"": 18, ""truck"": 2}",0,0,0,0,0,0,20,"{""car"": 18, ""truck"": 2, ""bus"": 0, ""motorcycle"": 0, ""bicycle"": 0}",0,0,0,horizontal
20,0.76,21,21,35.21619999082759,28.396022292594317,,,31.41470003174618,"{""car"": 19, ""truck"": 2}",21,"{""car"": 19, ""truck"": 2}",0,0,0,0,0,0,21,"{""car"": 19, ""truck"": 2, ""bus"": 0, ""motorcycle"": 0, ""bicycle"": 0}",0,0,0,horizontal
21,0.8,20,20,49.96249999385327,20.015011260906217,,,44.76870002690703,"{""car"": 18, ""truck"": 2}",20,"{""car"": 18, ""truck"": 2}",0,0,0,0,0,0,20,"{""car"": 18, ""truck"": 2, ""bus"": 0, ""motorcycle"": 0, ""bicycle"": 0}",0,0,0,horizontal
22,0.84,21,21,43.35440002614632,23.065709579579387,,,38.883699977304786,"{""car"": 19, ""truck"": 2}",21,"{""car"": 19, ""truck"": 2}",0,0,0,0,0,0,21,"{""car"": 19, ""truck"": 2, ""bus"": 0, ""motorcycle"": 0, ""bicycle"": 0}",0,0,0,horizontal
23,0.88,21,21,41.83199995895848,23.90514441052552,,,37.74290002183989,"{""car"": 19, ""truck"": 2}",21,"{""car"": 19, ""truck"": 2}",0,0,0,0,0,0,21,"{""car"": 19, ""truck"": 2, ""bus"": 0, ""motorcycle"": 0, ""bicycle"": 0}",0,0,0,horizontal
24,0.92,20,20,37.03250002581626,27.003307886393724,,,32.6844000373967,"{""car"": 18, ""truck"": 2}",20,"{""car"": 18, ""truck"": 2}",0,0,0,0,0,0,20,"{""car"": 18, ""truck"": 2, ""bus"": 0, ""motorcycle"": 0, ""bicycle"": 0}",0,0,0,horizontal
25,0.96,21,21,40.384799998719245,24.76179156592861,,,36.34089999832213,"{""car"": 19, ""truck"": 2}",21,"{""car"": 19, ""truck"": 2}",0,0,0,0,0,0,21,"{""car"": 19, ""truck"": 2, ""bus"": 0, ""motorcycle"": 0, ""bicycle"": 0}",0,0,0,horizontal
26,1.0,21,21,38.14819996478036,26.21355662713397,,,34.178400004748255,"{""car"": 19, ""truck"": 2}",21,"{""car"": 19, ""truck"": 2}",0,0,0,0,0,0,21,"{""car"": 19, ""truck"": 2, ""bus"": 0, ""motorcycle"": 0, ""bicycle"": 0}",0,0,0,horizontal
27,1.04,19,19,40.295900020282716,24.816420516644513,,,36.433300003409386,"{""car"": 17, ""truck"": 2}",19,"{""car"": 17, ""truck"": 2}",0,0,0,0,0,0,19,"{""car"": 17, ""truck"": 2, ""bus"": 0, ""motorcycle"": 0, ""bicycle"": 0}",0,0,0,horizontal
28,1.08,19,19,39.4285999936983,25.36230046615466,,,36.20120004052296,"{""car"": 17, ""truck"": 2}",19,"{""car"": 17, ""truck"": 2}",0,0,0,0,0,0,19,"{""car"": 17, ""truck"": 2, ""bus"": 0, ""motorcycle"": 0, ""bicycle"": 0}",0,0,0,horizontal
29,1.12,19,19,38.85820001596585,25.734593974737002,,,35.08440003497526,"{""car"": 17, ""truck"": 2}",19,"{""car"": 17, ""truck"": 2}",0,0,0,0,0,0,19,"{""car"": 17, ""truck"": 2, ""bus"": 0, ""motorcycle"": 0, ""bicycle"": 0}",0,0,0,horizontal
30,1.16,19,19,37.64039999805391,26.56719907470968,,,33.8369999662973,"{""car"": 17, ""truck"": 2}",19,"{""car"": 17, ""truck"": 2}",0,0,0,0,0,0,19,"{""car"": 17, ""truck"": 2, ""bus"": 0, ""motorcycle"": 0, ""bicycle"": 0}",0,0,0,horizontal
